,tournament,elitism,elitism limit,mutation,crossing over,3-mer diversity,5-mer diversity,lowest pairwise distance,final pairwise distance,best fitness,best fitness generation,fitness slope,3-mer slope,5-mer slope,pairwise slope
0,2,1,2,0.05,0.95,78,73,5.796666666666667,6.641304347826087,-589.6474364092259,3,2.4757934463653273,-4.26390977443609,-3.82406015037594,-0.2686765926674393
1,2,1,2,0.1,0.9,93,105,5.73,8.21,-593.4912318286875,3,2.017269481741918,-4.574436090225563,-4.054887218045113,-0.3211077694235589
2,2,1,2,0.15,0.85,73,69,4.626666666666667,5.703333333333333,-590.5532701112968,4,0.9203680845275553,-3.9706766917293237,-2.8263157894736843,-0.22680393954960815
3,2,1,2,0.2,0.8,92,82,6.73,6.73,-593.261762244438,17,0.7754719304950766,-3.3586466165413538,-2.621804511278196,-0.24370186335403732
4,2,1,2,0.25,0.75,65,50,4.829710144927536,4.829710144927536,-602.6440181320208,11,1.2388287014940988,-3.425563909774436,-2.6451127819548867,-0.16250184750413582
5,2,1,2,0.3,0.7,66,52,4.706666666666667,4.706666666666667,-577.8681722582664,15,2.5457532281174142,-6.136842105263158,-6.439097744360903,-0.5436867620774126
6,2,1,3,0.05,0.95,80,66,6.04,6.04,-608.3016353647113,3,-0.5731088167163043,-4.457142857142856,-4.009774436090226,-0.271316334314046
7,2,1,3,0.1,0.9,71,56,5.32,5.32,-582.9911235574484,13,0.3729902995690488,-4.832330827067669,-4.12781954887218,-0.30343510951291264
8,2,1,3,0.15,0.85,112,120,7.82,10.77,-586.896515533664,13,0.24881859117941538,-3.1308270676691734,-0.019548872180451128,0.06469445352511716
9,2,1,3,0.2,0.8,100,144,11.103333333333333,12.553333333333333,-596.7478021232562,1,0.08100082062025335,-3.5368421052631582,-0.48571428571428577,0.09291289488543494
10,2,1,3,0.25,0.75,70,74,5.503333333333333,5.973333333333334,-601.5171195840252,9,0.5010631574946319,-4.976691729323309,-4.304511278195489,-0.30183774654026363
11,2,1,3,0.3,0.7,113,136,10.253333333333334,10.253333333333334,-583.5462438583947,14,1.7237323384379026,-3.2030075187969924,-1.4390977443609023,-0.0775764411027569
12,2,1,5,0.05,0.95,124,167,8.136666666666667,13.273333333333333,-582.6421016709718,0,1.8916385872614119,-2.377443609022557,0.33458646616541354,0.047265664160401046
13,2,1,5,0.1,0.9,96,103,6.083333333333333,8.476666666666667,-596.4677896508689,19,0.15044406207821212,-3.617293233082707,-2.8466165413533835,-0.2836088046202463
14,2,1,5,0.15,0.85,82,90,6.783333333333333,6.783333333333333,-587.1244071158379,13,-0.18725292526649875,-4.576691729323309,-3.380451127819549,-0.259211615996513
15,2,1,5,0.2,0.8,104,102,6.2101449275362315,8.926666666666666,-587.8786676502157,1,0.8195197723770821,-4.683458646616542,-4.5398496240601505,-0.24152282881115836
16,2,1,5,0.25,0.75,112,116,7.1866666666666665,8.473333333333333,-584.6662479115365,9,0.27204704385008316,-4.56390977443609,-3.9518796992481215,-0.3490124223602485
17,2,1,5,0.3,0.7,66,48,4.746666666666667,4.746666666666667,-586.8677623806542,0,3.007520967318398,-4.831578947368421,-4.938345864661654,-0.3670246366905406
18,2,1,20,0.05,0.95,68,108,5.73,7.486666666666666,-588.8922803385889,3,0.4404737970159725,-5.70827067669173,-2.992481203007519,-0.300273272113089
19,2,1,20,0.1,0.9,89,90,4.653333333333333,8.016666666666667,-589.2424586679391,5,-1.1477258740343597,-6.442105263157895,-5.715037593984962,-0.38607126511932005
20,2,1,20,0.15,0.85,105,122,8.924901185770752,11.08,-580.8393821067274,17,-0.6721904128834587,-3.904511278195489,-2.6676691729323307,-0.1988495249982664
21,2,1,20,0.2,0.8,100,110,7.673333333333333,10.466666666666667,-580.7857352991889,1,1.6407826431746897,-3.168421052631579,-2.2812030075187972,-0.10773934837092732
22,2,1,20,0.25,0.75,82,65,5.07,5.876666666666667,-595.7385302868202,10,-2.0862844938683276,-4.686466165413535,-4.848872180451129,-0.3132746986042181
23,2,1,20,0.3,0.7,105,94,6.63768115942029,9.483333333333333,-595.373169102285,18,-0.8801160673654962,-3.3706766917293236,-2.410526315789474,-0.07254658385093168
24,2,2,2,0.05,0.95,104,145,6.79,11.046666666666667,-602.130377409539,8,-0.3434955360428013,-2.6030075187969928,0.06691729323308271,-0.02216034156537585
25,2,2,2,0.1,0.9,89,95,6.81,6.97,-585.206535962797,18,-0.9091853695201085,-3.6398496240601506,-1.9248120300751879,-0.19398614124243418
26,2,2,2,0.15,0.85,125,151,7.093333333333334,13.36,-579.2465458345081,16,-0.5779172546901123,-1.5172932330827071,0.861654135338346,0.006543879461499613
27,2,2,2,0.2,0.8,110,142,7.24,10.413333333333334,-581.8915211596043,11,-1.985413714972964,-1.8511278195488723,1.1812030075187971,0.024487196251498356
28,2,2,2,0.25,0.75,102,106,7.173333333333333,7.546666666666667,-599.0266598774642,6,1.2958642389922062,-2.9834586466165414,-2.5406015037593987,-0.1973782083667667
29,2,2,2,0.3,0.7,84,107,6.283333333333333,10.423333333333334,-597.104365477369,6,0.26451753047027476,-4.294736842105263,-2.711278195488722,-0.16783273400893536
30,2,2,3,0.05,0.95,97,81,6.286666666666667,6.286666666666667,-583.8081364597346,9,-0.04857711297996012,-3.5571428571428574,-3.5323308270676694,-0.3676610003269042
31,2,2,3,0.1,0.9,100,101,7.296666666666667,8.456666666666667,-570.5952163250706,1,2.464502634027463,-4.57218045112782,-2.881954887218045,-0.2600902552824749
32,2,2,3,0.15,0.85,83,63,4.822134387351778,5.470355731225297,-575.5846623621734,12,1.5237095178312554,-3.96015037593985,-3.872932330827068,-0.2965832466541848
33,2,2,3,0.2,0.8,97,113,7.0144927536231885,8.89,-597.4786572979903,7,3.494215091614379,-2.371428571428572,-0.8037593984962407,-0.03226981485333884
34,2,2,3,0.25,0.75,116,135,9.783333333333333,9.93,-608.0128506396331,0,1.9399169515448846,-2.9195488721804512,-1.3421052631578947,-0.1084611627883939
35,2,2,3,0.3,0.7,93,118,10.146245059288537,11.206666666666667,-606.1064715055857,3,0.8825901193053709,-2.73609022556391,-1.4150375939849624,-0.09571904068471575
36,2,2,5,0.05,0.95,68,83,5.596837944664031,7.043478260869565,-591.2809014903066,3,-0.27848287241793057,-6.009774436090226,-5.174436090225564,-0.49939592063161864
37,2,2,5,0.1,0.9,75,66,5.221343873517786,5.596666666666667,-589.8491921958957,5,-1.1256746290289474,-5.267669172932331,-6.030827067669174,-0.40120785164492256
38,2,2,5,0.15,0.85,116,131,10.7,12.363333333333333,-591.8982885751803,11,0.3666455288909469,-2.7097744360902256,-0.9541353383458647,-0.08325313283208022
39,2,2,5,0.2,0.8,86,82,6.156666666666666,7.1066666666666665,-585.8966116334936,0,-1.0327816406924155,-4.341353383458647,-3.690977443609023,-0.30196425847226765
40,2,2,5,0.25,0.75,134,173,9.17,14.333333333333334,-596.9136154379723,2,-0.7231383410238154,-1.1270676691729324,1.693984962406015,0.1666065162907269
41,2,2,5,0.3,0.7,107,136,8.413333333333334,10.45,-594.6910297078169,9,1.3612540864302127,-2.330827067669173,0.40977443609022557,0.0946375721913479
42,2,2,20,0.05,0.95,75,125,6.613333333333333,10.566666666666666,-583.2566340792647,9,1.6081379674176648,-6.29624060150376,-4.737593984962406,-0.3587665507642625
43,2,2,20,0.1,0.9,114,163,9.92,12.380434782608695,-584.155473081186,8,0.8274892294515939,-2.8345864661654137,0.7323308270676692,-0.014504076396524904
44,2,2,20,0.15,0.85,115,132,7.293478260869565,8.916666666666666,-582.4689907565283,17,0.1769497561910611,-2.736842105263158,-0.5578947368421051,-0.11834608259779887
45,2,2,20,0.2,0.8,88,86,5.8,6.516666666666667,-596.2877966003566,10,1.5850868952240702,-4.506015037593985,-4.197744360902256,-0.31284624604990735
46,2,2,20,0.25,0.75,123,139,8.482213438735178,10.993333333333334,-594.8297408915664,15,0.5381582029459687,-2.2849624060150378,-1.7218045112781954,-0.21227883939096756
47,2,2,20,0.3,0.7,83,81,5.91,6.373333333333333,-597.2014853479246,1,3.3555529490869,-4.14812030075188,-3.47218045112782,-0.282725350926724
48,3,1,2,0.05,0.95,53,79,4.221014492753623,7.026666666666666,-587.8886097487198,7,4.255546053667515,-5.803007518796993,-4.500751879699249,-0.3595431492338979
49,3,1,2,0.1,0.9,107,127,7.11,9.12,-585.5337586482931,2,0.29306189607751215,-3.8293233082706766,-2.5473684210526315,-0.3425112781954887
50,3,1,2,0.15,0.85,59,56,4.896103896103896,4.896103896103896,-589.989977730956,3,1.50624912586678,-5.404511278195489,-5.552631578947368,-0.570375687949405
51,3,1,2,0.2,0.8,75,61,5.322463768115942,5.322463768115942,-595.4610252980432,2,0.6299816639018692,-5.117293233082707,-4.212781954887219,-0.2661889407312749
52,3,1,2,0.25,0.75,89,99,5.989130434782608,7.76,-577.8638482595999,12,0.2331496834328573,-4.1834586466165415,-3.393233082706767,-0.3161842451979752
53,3,1,2,0.3,0.7,92,91,6.933333333333334,6.933333333333334,-588.2963532108017,17,-1.6864001893145217,-4.9714285714285715,-4.515789473684211,-0.4124272241869496
54,3,1,3,0.05,0.95,65,67,4.813852813852814,5.5770750988142295,-584.5873417520859,2,4.863245259215276,-4.966165413533835,-3.5488721804511276,-0.29470236432413616
55,3,1,3,0.1,0.9,71,60,5.073333333333333,5.073333333333333,-591.4607652433841,14,-0.17539755382805775,-4.56015037593985,-4.655639097744361,-0.3613248338236897
56,3,1,3,0.15,0.85,74,82,4.81,6.333333333333333,-601.2923682789799,11,2.584554074052443,-4.200751879699249,-1.993233082706767,-0.15578481777566447
57,3,1,3,0.2,0.8,64,75,5.036666666666667,5.6066666666666665,-604.4538318956849,8,1.9795570285201995,-4.487218045112782,-3.1,-0.23778441162194017
58,3,1,3,0.25,0.75,86,64,5.406666666666666,5.79,-576.4814024797008,1,1.70585630494203,-4.342857142857143,-4.8007518796992485,-0.3780169990192875
59,3,1,3,0.3,0.7,84,101,6.84,8.936758893280633,-593.9530602722438,8,-0.32555708128230093,-3.537593984962406,-1.9300751879699247,-0.13722174012105354
60,3,1,5,0.05,0.95,63,73,5.028985507246377,6.703333333333333,-594.6998249780652,4,2.3390032963741008,-3.8263157894736834,-2.6240601503759398,-0.24562471395881008
61,3,1,5,0.1,0.9,72,86,3.9288537549407114,5.8533333333333335,-588.6675493557832,19,-0.0719099366834858,-3.966917293233082,-2.2924812030075192,-0.24851834130781497
62,3,1,5,0.15,0.85,74,60,4.0519480519480515,5.753246753246753,-585.7840956109509,18,-1.6490265117143639,-3.506015037593985,-3.497744360902256,-0.2885757506488739
63,3,1,5,0.2,0.8,77,85,5.315217391304348,6.463333333333333,-588.8158317702296,16,0.6187693337231566,-4.5812030075187975,-4.080451127819549,-0.38536843095882
64,3,1,5,0.25,0.75,91,100,6.403333333333333,6.403333333333333,-587.8811636974027,13,0.8253208541264032,-2.3097744360902257,-0.1902255639097742,-0.029730630925138918
65,3,1,5,0.3,0.7,47,61,4.944664031620554,4.944664031620554,-575.8303276102009,3,1.1605282207798213,-4.961654135338347,-5.0285714285714285,-0.3350511654630648
66,3,1,20,0.05,0.95,56,75,6.136666666666667,6.136666666666667,-582.2960720713895,7,3.5869983400934853,-4.3654135338345865,-1.4924812030075187,-0.09417129780974175
67,3,1,20,0.1,0.9,71,70,4.367588932806324,6.033333333333333,-583.3145075546254,15,0.6283493369496915,-4.594736842105263,-2.8834586466165413,-0.20743421795595707
68,3,1,20,0.15,0.85,108,113,8.583333333333334,11.483333333333333,-584.7632680959417,9,-0.05495094073617504,-2.46015037593985,-1.0691729323308272,0.02355137844611529
69,3,1,20,0.2,0.8,86,105,9.176666666666666,10.506666666666666,-592.325050591461,18,0.5901847250950566,-3.685714285714286,-2.2030075187969924,-0.20685812356979402
70,3,1,20,0.25,0.75,82,84,4.803333333333334,5.876666666666667,-590.2546461538114,15,-0.41355423398290597,-4.58421052631579,-4.327067669172933,-0.32972882799885084
71,3,1,20,0.3,0.7,86,83,4.6017316017316015,7.31,-579.9897894001651,9,-1.3354875456171933,-3.9571428571428577,-3.279699248120301,-0.1999942162011466
72,3,2,2,0.05,0.95,100,113,5.298701298701299,8.513333333333334,-595.2963646966041,2,1.7955333013751476,-3.244360902255639,-1.5879699248120303,-0.18426901528241835
73,3,2,2,0.1,0.9,62,60,3.75,4.811594202898551,-592.8858757804052,9,0.8494428662874769,-4.713533834586467,-4.163909774436091,-0.3824399635452267
74,3,2,2,0.15,0.85,73,88,5.532467532467533,6.333333333333333,-587.0760064819519,3,1.0768790585230479,-4.980451127819549,-4.515037593984962,-0.3788289130505541
75,3,2,2,0.2,0.8,65,59,5.38,5.38,-591.2105205780365,3,1.9221343166066776,-4.881203007518797,-3.8263157894736843,-0.3469883800410116
76,3,2,2,0.25,0.75,78,74,4.42,5.768115942028985,-586.771396004677,1,2.455259175265723,-4.360902255639098,-3.8451127819548874,-0.3217824997275799
77,3,2,2,0.3,0.7,78,65,5.786231884057971,6.4,-585.6663362188629,9,2.0476400184122316,-3.680451127819549,-4.046616541353383,-0.26915708525973314
78,3,2,3,0.05,0.95,70,122,5.406666666666666,8.466666666666667,-584.7636849061339,3,-1.5284928224150245,-4.431578947368421,-1.2187969924812032,-0.12314961316334312
79,3,2,3,0.1,0.9,73,83,4.053333333333334,6.1645021645021645,-595.912208595017,7,0.3244766577619966,-3.7406015037593985,-2.2218045112781954,-0.28738114484404126
80,3,2,3,0.15,0.85,88,85,5.0,6.87,-591.2951319547814,0,2.8639227344745444,-3.76015037593985,-2.9135338345864663,-0.2228245246090947
81,3,2,3,0.2,0.8,71,49,4.1433333333333335,4.47,-574.1005486723169,9,0.44481422636687895,-5.0849624060150385,-5.281203007518798,-0.4522916183739983
82,3,2,3,0.25,0.75,59,40,3.6133333333333333,4.445652173913044,-586.4980247182388,1,5.4986373344748944,-4.838345864661654,-5.410526315789474,-0.38138076416337285
83,3,2,3,0.3,0.7,74,54,4.43,4.43,-586.467515946729,8,2.9209371803427167,-4.757142857142857,-4.748872180451128,-0.31257585380730196
84,3,2,5,0.05,0.95,49,81,6.126666666666667,6.126666666666667,-589.3752975808791,13,-1.4932972127680773,-5.553383458646617,-1.9541353383458648,-0.09618456219600381
85,3,2,5,0.1,0.9,74,58,4.376666666666667,4.395256916996048,-593.9937515998051,17,0.7588122256895933,-4.548872180451129,-4.113533834586466,-0.3505696355513289
86,3,2,5,0.15,0.85,52,77,4.37,5.976666666666667,-575.2102963311245,17,-0.8542645707917442,-5.429323308270677,-3.640601503759399,-0.3459230628802384
87,3,2,5,0.2,0.8,71,78,5.183333333333334,5.19,-577.9100197875065,12,2.477908688051282,-4.566165413533835,-4.433082706766918,-0.39440953173447446
88,3,2,5,0.25,0.75,69,72,4.833333333333333,6.963333333333333,-583.8939182545491,18,0.1782950019564673,-3.9729323308270676,-3.5330827067669177,-0.2491277247324975
89,3,2,5,0.3,0.7,60,56,3.966666666666667,4.79,-595.4960734110066,14,1.8904265182838251,-5.286466165413534,-4.5812030075187975,-0.3579903315601256
90,3,2,20,0.05,0.95,78,100,6.379446640316205,9.206666666666667,-581.4737153426252,16,-0.19296476937064677,-3.556390977443609,-2.64812030075188,-0.17030472426124596
91,3,2,20,0.1,0.9,61,84,4.116666666666666,6.223333333333334,-574.5636841365114,5,-2.1645439353393185,-5.852631578947369,-5.079699248120301,-0.4243728802525795
92,3,2,20,0.15,0.85,56,48,3.7714285714285714,4.402597402597403,-567.208182710803,3,3.5742126444571114,-5.5398496240601505,-6.487969924812031,-0.606479578392622
93,3,2,20,0.2,0.8,59,55,4.8933333333333335,4.8933333333333335,-606.7839051991925,6,-0.4053740547641803,-3.3375939849624063,-2.9045112781954887,-0.28280647270349785
94,3,2,20,0.25,0.75,71,44,4.26,4.73,-583.9500272868208,18,-1.748139734532962,-4.421804511278196,-4.481203007518797,-0.28685553946979264
95,3,2,20,0.3,0.7,58,42,4.27,4.322463768115942,-592.0597238512858,18,2.2667516650142745,-6.6571428571428575,-7.236090225563911,-0.49654733247574045
96,4,1,2,0.05,0.95,46,83,3.7572463768115942,5.909420289855072,-591.3183692513207,4,0.6242964780405729,-4.829323308270677,-1.8586466165413535,-0.29592573189042626
97,4,1,2,0.1,0.9,64,96,5.08,7.909420289855072,-585.6523317359872,8,2.03277153548085,-4.389473684210527,-2.661654135338346,-0.2513647317050391
98,4,1,2,0.15,0.85,51,66,5.083333333333333,7.39,-583.2354112264728,17,1.2761589145610446,-5.154887218045113,-3.670676691729324,-0.2621541204790632
99,4,1,2,0.2,0.8,80,137,6.8478260869565215,14.333333333333334,-594.1619231447147,13,-0.6764582987968174,-2.8939849624060154,2.3872180451127822,0.22981965784025285
100,4,1,2,0.25,0.75,69,61,4.613333333333333,4.8533333333333335,-579.5056189564928,13,0.636962108107521,-4.464661654135338,-4.818045112781955,-0.4251365171822838
101,4,1,2,0.3,0.7,91,77,6.21,6.21,-578.8645876974842,8,-0.23690417475530148,-3.8631578947368426,-3.5819548872180453,-0.302715920235371
102,4,1,3,0.05,0.95,45,49,3.5770750988142295,3.5770750988142295,-590.3944354504716,6,3.9694808314847605,-5.142105263157895,-4.974436090225564,-0.38477410777083865
103,4,1,3,0.1,0.9,73,102,6.181159420289855,7.246376811594203,-588.8127617050992,8,1.3854784143402532,-3.996992481203007,-1.4984962406015037,-0.3018739239402855
104,4,1,3,0.15,0.85,84,129,5.41,10.39,-580.5113466846082,5,0.3229478685109791,-3.9879699248120297,-1.6390977443609023,-0.12462213834982712
105,4,1,3,0.2,0.8,76,70,4.723320158102767,6.5633333333333335,-575.4271660654904,10,-1.6055102169597624,-3.0819548872180453,-2.7150375939849627,-0.2002196003843601
106,4,1,3,0.25,0.75,88,105,4.525691699604743,11.78,-579.8489860731568,0,0.6986066108763739,-2.5736842105263156,-0.4796992481203008,0.014408491584692991
107,4,1,3,0.3,0.7,67,65,4.163043478260869,5.133333333333334,-598.2921563823372,14,-1.3064198194364054,-4.978947368421053,-4.248872180451127,-0.35168935325326295
